ID,fromTime,toTime,noDept,noArr,windAngle,windSpeed,gust,gustSpeed,visibility,ceiling,temp,dewTemp,pressure,plus,minus,SN,PL,RA,TS,GR,BR,HZ,FG,VFR,Marginal,IFR,lowIFR
18547,2011-01-10 00:00:00,2011-01-10 00:30:00,6,1,080,22,1,12,6.0,13.0,-3.0,-5.0,30.16,0,1,0,1,0,0,0,1,0,0,0,1,0,0
18548,2011-01-10 00:30:00,2011-01-10 01:00:00,4,0,080,22,1,12,6.0,13.0,-3.0,-5.0,30.16,0,1,0,1,0,0,0,1,0,0,0,1,0,0
18545,2011-01-10 01:00:00,2011-01-10 01:30:00,1,1,060,13,0,-1,7.0,9.0,-3.0,-4.0,30.16,0,1,1,1,0,0,0,1,0,0,0,0,1,0
18546,2011-01-10 01:30:00,2011-01-10 02:00:00,4,0,060,13,0,-1,7.0,9.0,-3.0,-4.0,30.16,0,1,1,1,0,0,0,1,0,0,0,0,1,0
18543,2011-01-10 02:00:00,2011-01-10 02:30:00,4,0,070,23,1,17,5.0,9.0,-3.0,-5.0,30.19,0,1,1,1,1,0,0,1,0,0,0,0,1,0
18544,2011-01-10 02:30:00,2011-01-10 03:00:00,1,0,070,23,1,17,5.0,9.0,-3.0,-5.0,30.19,0,1,1,1,1,0,0,1,0,0,0,0,1,0
18541,2011-01-10 03:00:00,2011-01-10 03:30:00,1,0,090,20,0,-1,0.5,2.0,-3.0,-4.0,30.15,0,1,1,0,0,0,0,1,0,0,0,0,0,1
18542,2011-01-10 03:30:00,2011-01-10 04:00:00,1,0,090,20,0,-1,0.5,2.0,-3.0,-4.0,30.15,0,1,1,0,0,0,0,1,0,0,0,0,0,1
18539,2011-01-10 04:00:00,2011-01-10 04:30:00,1,0,080,24,1,14,6.0,12.0,-3.0,-4.0,30.14,0,1,0,1,1,0,0,1,0,0,0,1,0,0
18540,2011-01-10 04:30:00,2011-01-10 05:00:00,0,0,080,24,1,14,6.0,12.0,-3.0,-4.0,30.14,0,1,0,1,1,0,0,1,0,0,0,1,0,0
18537,2011-01-10 05:00:00,2011-01-10 05:30:00,0,0,070,20,1,15,4.0,12.0,-2.0,-4.0,30.14,0,0,0,1,0,0,0,1,0,0,0,1,0,0
18538,2011-01-10 05:30:00,2011-01-10 06:00:00,0,0,070,20,1,15,4.0,12.0,-2.0,-4.0,30.14,0,0,0,1,0,0,0,1,0,0,0,1,0,0
18535,2011-01-10 06:00:00,2011-01-10 06:30:00,0,1,090,20,1,17,4.0,10.0,-3.0,-4.0,30.15,0,0,1,1,0,0,0,1,0,0,0,1,0,0
18536,2011-01-10 06:30:00,2011-01-10 07:00:00,0,0,090,20,1,17,4.0,10.0,-3.0,-4.0,30.15,0,0,1,1,0,0,0,1,0,0,0,1,0,0
18533,2011-01-10 07:00:00,2011-01-10 07:30:00,2,1,090,24,1,20,10.0,10.0,-2.0,-4.0,30.16,0,1,0,1,1,0,0,0,0,0,0,1,0,0
18534,2011-01-10 07:30:00,2011-01-10 08:00:00,1,1,090,24,1,20,10.0,10.0,-2.0,-4.0,30.16,0,1,0,1,1,0,0,0,0,0,0,1,0,0
18531,2011-01-10 08:00:00,2011-01-10 08:30:00,1,3,090,23,1,16,10.0,12.0,-2.0,-4.0,30.18,0,1,0,1,1,0,0,0,0,0,0,1,0,0
18532,2011-01-10 08:30:00,2011-01-10 09:00:00,4,6,090,23,1,16,10.0,12.0,-2.0,-4.0,30.18,0,1,0,1,1,0,0,0,0,0,0,1,0,0
18529,2011-01-10 09:00:00,2011-01-10 09:30:00,3,2,090,22,1,16,8.0,8.0,-2.0,-4.0,30.17,0,1,0,1,1,0,0,0,0,0,0,0,1,0
18530,2011-01-10 09:30:00,2011-01-10 10:00:00,2,4,090,22,1,16,8.0,8.0,-2.0,-4.0,30.17,0,1,0,1,1,0,0,0,0,0,0,0,1,0
18527,2011-01-10 10:00:00,2011-01-10 10:30:00,4,3,070,15,0,-1,5.0,8.0,-2.0,-3.0,30.16,0,1,0,1,1,0,0,1,0,0,0,0,1,0
18528,2011-01-10 10:30:00,2011-01-10 11:00:00,2,4,070,15,0,-1,5.0,8.0,-2.0,-3.0,30.16,0,1,0,1,1,0,0,1,0,0,0,0,1,0
18525,2011-01-10 11:00:00,2011-01-10 11:30:00,2,1,080,17,0,-1,4.0,8.0,-2.0,-3.0,30.15,0,1,0,1,1,0,0,1,0,0,0,0,1,0
18526,2011-01-10 11:30:00,2011-01-10 12:00:00,2,1,080,17,0,-1,4.0,8.0,-2.0,-3.0,30.15,0,1,0,1,1,0,0,1,0,0,0,0,1,0
18523,2011-01-10 12:00:00,2011-01-10 12:30:00,4,3,080,14,0,-1,5.0,6.0,-2.0,-3.0,30.11,0,1,0,1,1,0,0,1,0,0,0,0,1,0
18524,2011-01-10 12:30:00,2011-01-10 13:00:00,0,5,080,14,0,-1,5.0,6.0,-2.0,-3.0,30.11,0,1,0,1,1,0,0,1,0,0,0,0,1,0
18521,2011-01-10 13:00:00,2011-01-10 13:30:00,1,1,080,14,0,-1,3.0,6.0,-2.0,-3.0,30.1,0,1,0,1,1,0,0,1,0,0,0,0,1,0
18522,2011-01-10 13:30:00,2011-01-10 14:00:00,1,2,080,14,0,-1,3.0,6.0,-2.0,-3.0,30.1,0,1,0,1,1,0,0,1,0,0,0,0,1,0
18519,2011-01-10 14:00:00,2011-01-10 14:30:00,0,0,070,15,0,-1,4.0,6.0,-2.0,-3.0,30.07,0,1,0,1,1,0,0,1,0,0,0,0,1,0
18520,2011-01-10 14:30:00,2011-01-10 15:00:00,2,4,070,15,0,-1,4.0,6.0,-2.0,-3.0,30.07,0,1,0,1,1,0,0,1,0,0,0,0,1,0
18517,2011-01-10 15:00:00,2011-01-10 15:30:00,3,1,090,12,0,-1,1.0,6.0,-2.0,-3.0,30.09,0,1,0,1,1,0,0,1,0,0,0,0,1,0
18518,2011-01-10 15:30:00,2011-01-10 16:00:00,5,2,090,12,0,-1,1.0,6.0,-2.0,-3.0,30.09,0,1,0,1,1,0,0,1,0,0,0,0,1,0
18515,2011-01-10 16:00:00,2011-01-10 16:30:00,3,3,070,12,0,-1,2.0,6.0,-2.0,-3.0,30.1,0,1,0,1,1,0,0,1,0,0,0,0,1,0
18516,2011-01-10 16:30:00,2011-01-10 17:00:00,2,5,070,12,0,-1,2.0,6.0,-2.0,-3.0,30.1,0,1,0,1,1,0,0,1,0,0,0,0,1,0
18513,2011-01-10 17:00:00,2011-01-10 17:30:00,3,0,080,11,0,-1,2.0,6.0,-2.0,-3.0,30.12,0,1,0,1,1,0,0,1,0,0,0,0,1,0
18514,2011-01-10 17:30:00,2011-01-10 18:00:00,1,1,080,11,0,-1,2.0,6.0,-2.0,-3.0,30.12,0,1,0,1,1,0,0,1,0,0,0,0,1,0
18511,2011-01-10 18:00:00,2011-01-10 18:30:00,2,0,050,11,0,-1,2.0,4.0,-2.0,-3.0,30.12,0,1,0,1,1,0,0,1,0,0,0,0,0,1
18512,2011-01-10 18:30:00,2011-01-10 19:00:00,2,7,050,11,0,-1,2.0,4.0,-2.0,-3.0,30.12,0,1,0,1,1,0,0,1,0,0,0,0,0,1
18509,2011-01-10 19:00:00,2011-01-10 19:30:00,2,3,070,12,0,-1,2.0,4.0,-2.0,-3.0,30.12,0,1,0,1,1,0,0,1,0,0,0,0,0,1
18510,2011-01-10 19:30:00,2011-01-10 20:00:00,1,2,070,12,0,-1,2.0,4.0,-2.0,-3.0,30.12,0,1,0,1,1,0,0,1,0,0,0,0,0,1
18507,2011-01-10 20:00:00,2011-01-10 20:30:00,0,1,070,10,0,-1,2.0,4.0,-2.0,-3.0,30.13,0,1,0,1,1,0,0,1,0,0,0,0,0,1
18508,2011-01-10 20:30:00,2011-01-10 21:00:00,0,3,070,10,0,-1,2.0,4.0,-2.0,-3.0,30.13,0,1,0,1,1,0,0,1,0,0,0,0,0,1
18505,2011-01-10 21:00:00,2011-01-10 21:30:00,1,2,070,9,0,-1,2.0,4.0,-2.0,-3.0,30.14,0,1,0,1,1,0,0,1,0,0,0,0,0,1
18506,2011-01-10 21:30:00,2011-01-10 22:00:00,3,2,070,9,0,-1,2.0,4.0,-2.0,-3.0,30.14,0,1,0,1,1,0,0,1,0,0,0,0,0,1
18503,2011-01-10 22:00:00,2011-01-10 22:30:00,7,2,070,8,0,-1,1.0,4.0,-2.0,-3.0,30.15,0,1,0,1,1,0,0,1,0,0,0,0,0,1
18504,2011-01-10 22:30:00,2011-01-10 23:00:00,0,3,070,8,0,-1,1.0,4.0,-2.0,-3.0,30.15,0,1,0,1,1,0,0,1,0,0,0,0,0,1
18501,2011-01-10 23:00:00,2011-01-10 23:30:00,5,0,080,8,0,-1,0.5,4.0,-2.0,-3.0,30.16,0,0,0,0,0,0,0,1,0,0,0,0,0,1
18502,2011-01-10 23:30:00,2011-01-11 00:00:00,1,0,080,8,0,-1,0.5,4.0,-2.0,-3.0,30.16,0,0,0,0,0,0,0,1,0,0,0,0,0,1
