YEAR,MONTH,DAY_OF_MONTH,FL_DATE,UNIQUE_CARRIER,AIRLINE_ID,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,DIV_REACHED_DEST
2016,1,10,1/10/2016,EV,20366,5046,11150,CSG,"Columbus, GA",10397,ATL,"Atlanta, GA",700,650,-10,11,7,747,733,-14,0,0,47,43,25,83,
2016,1,10,1/10/2016,F9,20436,1456,12889,LAS,"Las Vegas, NV",10397,ATL,"Atlanta, GA",55,49,-6,13,5,750,718,-32,0,0,235,209,191,1747,
2016,1,10,1/10/2016,DL,19790,2584,14635,RSW,"Fort Myers, FL",10397,ATL,"Atlanta, GA",600,555,-5,18,5,750,738,-12,0,0,110,103,80,515,
2016,1,10,1/10/2016,DL,19790,1340,10980,CHA,"Chattanooga, TN",10397,ATL,"Atlanta, GA",700,703,3,8,4,753,741,-12,0,0,53,38,26,106,
2016,1,10,1/10/2016,DL,19790,835,14098,PHF,"Newport News/Williamsburg, VA",10397,ATL,"Atlanta, GA",550,548,-2,10,4,754,735,-19,0,0,124,107,93,508,
2016,1,10,1/10/2016,DL,19790,1520,12264,IAD,"Washington, DC",10397,ATL,"Atlanta, GA",600,742,102,11,4,755,931,96,0,0,115,109,94,534,
2016,1,10,1/10/2016,DL,19790,920,14730,SDF,"Louisville, KY",10397,ATL,"Atlanta, GA",630,629,-1,69,13,756,855,59,0,0,86,146,64,321,
2016,1,10,1/10/2016,DL,19790,2261,11267,DAY,"Dayton, OH",10397,ATL,"Atlanta, GA",600,555,-5,15,5,758,733,-25,0,0,118,98,78,432,
2016,1,10,1/10/2016,EV,20366,5518,10781,BTR,"Baton Rouge, LA",10397,ATL,"Atlanta, GA",530,529,-1,15,5,759,750,-9,0,0,89,81,61,448,
2016,1,10,1/10/2016,DL,19790,1518,13204,MCO,"Orlando, FL",10397,ATL,"Atlanta, GA",630,628,-2,14,7,801,750,-11,0,0,91,82,61,404,
2016,1,10,1/10/2016,EV,20366,5501,15607,VLD,"Valdosta, GA",10397,ATL,"Atlanta, GA",700,653,-7,13,5,804,754,-10,0,0,64,61,43,208,
2016,1,10,1/10/2016,DL,19790,1132,15249,TLH,"Tallahassee, FL",10397,ATL,"Atlanta, GA",700,653,-7,13,6,806,753,-13,0,0,66,60,41,223,
2016,1,10,1/10/2016,DL,19790,1234,14193,PNS,"Pensacola, FL",10397,ATL,"Atlanta, GA",600,555,-5,15,5,808,758,-10,0,0,68,63,43,271,
2016,1,10,1/10/2016,DL,19790,793,13422,MOB,"Mobile, AL",10397,ATL,"Atlanta, GA",600,608,8,11,5,809,815,6,0,0,69,67,51,302,
2016,1,10,1/10/2016,DL,19790,1783,10431,AVL,"Asheville, NC",10397,ATL,"Atlanta, GA",700,704,4,15,4,809,759,-10,0,0,69,55,36,164,
2016,1,10,1/10/2016,DL,19790,2353,10874,CAK,"Akron, OH",10397,ATL,"Atlanta, GA",600,557,-3,11,6,810,741,-29,0,0,130,104,87,528,
2016,1,10,1/10/2016,DL,19790,942,11986,GRR,"Grand Rapids, MI",10397,ATL,"Atlanta, GA",600,613,13,64,4,812,906,54,0,0,132,173,105,640,
2016,1,10,1/10/2016,DL,19790,1091,10693,BNA,"Nashville, TN",10397,ATL,"Atlanta, GA",600,553,-7,42,7,813,828,15,0,0,73,95,46,214,
2016,1,10,1/10/2016,EV,20366,5270,10731,BQK,"Brunswick, GA",10397,ATL,"Atlanta, GA",700,657,-3,38,9,814,829,15,0,0,74,92,45,238,
2016,1,10,1/10/2016,OO,20304,4820,14696,SBN,"South Bend, IN",10397,ATL,"Atlanta, GA",600,557,-3,32,5,814,817,3,0,0,134,140,103,566,
2016,1,10,1/10/2016,DL,19790,2200,10868,CAE,"Columbia, SC",10397,ATL,"Atlanta, GA",700,659,-1,11,8,814,759,-15,0,0,74,60,41,192,
2016,1,10,1/10/2016,DL,19790,1480,10994,CHS,"Charleston, SC",10397,ATL,"Atlanta, GA",700,657,-3,13,5,815,805,-10,0,0,75,68,50,259,
2016,1,10,1/10/2016,DL,19790,1686,15323,TRI,"Bristol/Johnson City/Kingsport, TN",10397,ATL,"Atlanta, GA",700,700,0,24,7,818,817,-1,0,0,78,77,46,227,
2016,1,10,1/10/2016,DL,19790,2019,13230,MDT,"Harrisburg, PA",10397,ATL,"Atlanta, GA",600,601,1,21,6,818,813,-5,0,0,138,132,105,620,
2016,1,10,1/10/2016,DL,19790,1625,10821,BWI,"Baltimore, MD",10397,ATL,"Atlanta, GA",615,626,11,24,6,820,834,14,0,0,125,128,98,577,
2016,1,10,1/10/2016,DL,19790,2283,11433,DTW,"Detroit, MI",10397,ATL,"Atlanta, GA",600,554,-6,18,3,820,746,-34,0,0,140,112,91,594,
2016,1,10,1/10/2016,DL,19790,1931,12448,JAN,"Jackson/Vicksburg, MS",10397,ATL,"Atlanta, GA",600,556,-4,12,5,821,803,-18,0,0,81,67,50,341,
2016,1,10,1/10/2016,DL,19790,2561,10135,ABE,"Allentown/Bethlehem/Easton, PA",10397,ATL,"Atlanta, GA",600,606,6,10,5,821,823,2,0,0,141,137,122,692,
2016,1,10,1/10/2016,DL,19790,849,13495,MSY,"New Orleans, LA",10397,ATL,"Atlanta, GA",600,556,-4,11,5,822,813,-9,0,0,82,77,61,425,
2016,1,10,1/10/2016,DL,19790,2633,13577,MYR,"Myrtle Beach, SC",10397,ATL,"Atlanta, GA",700,657,-3,10,10,823,820,-3,0,0,83,83,63,317,
2016,1,10,1/10/2016,DL,19790,1323,11042,CLE,"Cleveland, OH",10397,ATL,"Atlanta, GA",620,616,-4,9,4,824,757,-27,0,0,124,101,88,554,
2016,1,10,1/10/2016,DL,19790,1450,14122,PIT,"Pittsburgh, PA",10397,ATL,"Atlanta, GA",620,619,-1,9,3,824,800,-24,0,0,124,101,89,526,
2016,1,10,1/10/2016,DL,19790,1499,13244,MEM,"Memphis, TN",10397,ATL,"Atlanta, GA",605,600,-5,12,6,824,807,-17,0,0,79,67,49,332,
2016,1,10,1/10/2016,DL,19790,894,11721,FNT,"Flint, MI",10397,ATL,"Atlanta, GA",600,551,-9,46,7,824,830,6,0,0,144,159,106,645,
2016,1,10,1/10/2016,DL,19790,1914,10599,BHM,"Birmingham, AL",10397,ATL,"Atlanta, GA",615,622,7,12,4,825,818,-7,0,0,70,56,40,134,
2016,1,10,1/10/2016,EV,20366,5406,14814,SHV,"Shreveport, LA",10397,ATL,"Atlanta, GA",545,538,-7,14,7,826,813,-13,0,0,101,95,74,551,
2016,1,10,1/10/2016,DL,19790,786,11641,FAY,"Fayetteville, NC",10397,ATL,"Atlanta, GA",700,657,-3,14,7,827,823,-4,0,0,87,86,65,331,
2016,1,10,1/10/2016,DL,19790,1146,11252,DAB,"Daytona Beach, FL",10397,ATL,"Atlanta, GA",700,658,-2,12,9,827,817,-10,0,0,87,79,58,366,
2016,1,10,1/10/2016,DL,19790,2848,11146,CRW,"Charleston/Dunbar, WV",10397,ATL,"Atlanta, GA",645,644,-1,22,4,827,816,-11,0,0,102,92,66,363,
2016,1,10,1/10/2016,DL,19790,891,13303,MIA,"Miami, FL",10397,ATL,"Atlanta, GA",630,629,-1,10,8,828,812,-16,0,0,118,103,85,594,
2016,1,10,1/10/2016,DL,19790,2613,11612,EVV,"Evansville, IN",10397,ATL,"Atlanta, GA",600,1003,243,36,4,828,1239,251,0,0,88,96,56,350,
2016,1,10,1/10/2016,EV,20366,5435,13377,MLU,"Monroe, LA",10397,ATL,"Atlanta, GA",555,543,-12,27,8,829,826,-3,0,0,94,103,68,448,
2016,1,10,1/10/2016,EV,20366,5491,13795,OAJ,"Jacksonville/Camp Lejeune, NC",10397,ATL,"Atlanta, GA",650,648,-2,8,10,829,822,-7,0,0,99,94,76,399,
2016,1,10,1/10/2016,OO,20304,4614,11823,FWA,"Fort Wayne, IN",10397,ATL,"Atlanta, GA",630,629,-1,48,7,829,854,25,0,0,119,145,90,508,
2016,1,10,1/10/2016,EV,20366,4916,12197,HPN,"White Plains, NY",10397,ATL,"Atlanta, GA",600,558,-2,26,6,830,841,11,0,0,150,163,131,780,
