YEAR,MONTH,DAY_OF_MONTH,FL_DATE,UNIQUE_CARRIER,AIRLINE_ID,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,DIV_REACHED_DEST
2016,1,10,1/10/2016,DL,19790,954,10397,ATL,"Atlanta, GA",11618,EWR,"Newark, NJ",908,908,0,13,5,1114,1058,-16,0,0,126,110,92,746,
2016,1,10,1/10/2016,DL,19790,956,10397,ATL,"Atlanta, GA",11973,GPT,"Gulfport/Biloxi, MS",1210,1226,16,12,4,1237,1245,8,0,0,87,79,63,352,
2016,1,10,1/10/2016,DL,19790,973,10397,ATL,"Atlanta, GA",14574,ROA,"Roanoke, VA",2117,2133,16,21,5,2245,2257,12,0,0,88,84,58,357,
2016,1,10,1/10/2016,DL,19790,976,10397,ATL,"Atlanta, GA",12478,JFK,"New York, NY",1000,959,-1,17,8,1213,1200,-13,0,0,133,121,96,760,
2016,1,10,1/10/2016,DL,19790,980,10397,ATL,"Atlanta, GA",10721,BOS,"Boston, MA",1500,1556,56,15,6,1737,1812,35,0,0,157,136,115,946,
2016,1,10,1/10/2016,DL,19790,982,10397,ATL,"Atlanta, GA",12953,LGA,"New York, NY",1445,1445,0,17,17,1705,1658,-7,0,0,140,133,99,762,
2016,1,10,1/10/2016,DL,19790,984,10397,ATL,"Atlanta, GA",12478,JFK,"New York, NY",2050,2133,43,15,21,2315,2349,34,0,0,145,136,100,760,
2016,1,10,1/10/2016,DL,19790,986,10397,ATL,"Atlanta, GA",12953,LGA,"New York, NY",745,743,-2,15,5,1000,957,-3,0,0,135,134,114,762,
2016,1,10,1/10/2016,DL,19790,991,10397,ATL,"Atlanta, GA",11433,DTW,"Detroit, MI",1145,1259,74,20,8,1349,1457,68,0,0,124,118,90,594,
2016,1,10,1/10/2016,DL,19790,993,10397,ATL,"Atlanta, GA",11146,CRW,"Charleston/Dunbar, WV",2054,2109,15,26,3,2217,2233,16,0,0,83,84,55,363,
2016,1,10,1/10/2016,DL,19790,996,10397,ATL,"Atlanta, GA",11292,DEN,"Denver, CO",1940,2115,95,29,6,2115,2238,83,0,0,215,203,168,1199,
2016,1,10,1/10/2016,DL,19790,1050,10397,ATL,"Atlanta, GA",14635,RSW,"Fort Myers, FL",2215,2215,0,17,3,2357,2348,-9,0,0,102,93,73,515,
2016,1,10,1/10/2016,DL,19790,1053,10397,ATL,"Atlanta, GA",14027,PBI,"West Palm Beach/Palm Beach, FL",1630,1625,-5,17,5,1820,1820,0,0,0,110,115,93,545,
2016,1,10,1/10/2016,DL,19790,1058,10397,ATL,"Atlanta, GA",13204,MCO,"Orlando, FL",1355,1357,2,13,8,1529,1525,-4,0,0,94,88,67,404,
2016,1,10,1/10/2016,DL,19790,1062,10397,ATL,"Atlanta, GA",10529,BDL,"Hartford, CT",2208,2205,-3,10,5,24,2400,-24,0,0,136,115,100,859,
2016,1,10,1/10/2016,DL,19790,1066,10397,ATL,"Atlanta, GA",10693,BNA,"Nashville, TN",956,1147,111,11,5,958,1141,103,0,0,62,54,38,214,
2016,1,10,1/10/2016,DL,19790,1067,10397,ATL,"Atlanta, GA",10423,AUS,"Austin, TX",1935,1951,16,20,3,2114,2118,4,0,0,159,147,124,813,
2016,1,10,1/10/2016,DL,19790,1068,10397,ATL,"Atlanta, GA",14635,RSW,"Fort Myers, FL",925,926,1,12,3,1100,1105,5,0,0,95,99,84,515,
2016,1,10,1/10/2016,DL,19790,1072,10397,ATL,"Atlanta, GA",14122,PIT,"Pittsburgh, PA",2216,2219,3,16,23,2357,7,10,0,0,101,108,69,526,
2016,1,10,1/10/2016,DL,19790,1077,10397,ATL,"Atlanta, GA",14492,RDU,"Raleigh/Durham, NC",1354,1349,-5,17,2,1518,1459,-19,0,0,84,70,51,356,
2016,1,10,1/10/2016,DL,19790,1081,10397,ATL,"Atlanta, GA",14027,PBI,"West Palm Beach/Palm Beach, FL",2114,2126,12,17,4,2304,2314,10,0,0,110,108,87,545,
2016,1,10,1/10/2016,DL,19790,1083,10397,ATL,"Atlanta, GA",14492,RDU,"Raleigh/Durham, NC",2214,2214,0,42,5,2332,2355,23,0,0,78,101,54,356,
2016,1,10,1/10/2016,DL,19790,1087,10397,ATL,"Atlanta, GA",11252,DAB,"Daytona Beach, FL",1208,1206,-2,11,3,1328,1317,-11,0,0,80,71,57,366,
2016,1,10,1/10/2016,DL,19790,1094,10397,ATL,"Atlanta, GA",13487,MSP,"Minneapolis, MN",1455,1511,16,14,4,1645,1632,-13,0,0,170,141,123,907,
2016,1,10,1/10/2016,DL,19790,1095,10397,ATL,"Atlanta, GA",11057,CLT,"Charlotte, NC",1125,1124,-1,16,6,1235,1226,-9,0,0,70,62,40,226,
2016,1,10,1/10/2016,DL,19790,1098,10397,ATL,"Atlanta, GA",13871,OMA,"Omaha, NE",1841,1901,20,12,4,2017,2020,3,0,0,156,139,123,821,
2016,1,10,1/10/2016,DL,19790,1105,10397,ATL,"Atlanta, GA",14869,SLC,"Salt Lake City, UT",810,809,-1,21,6,1029,1014,-15,0,0,259,245,218,1590,
2016,1,10,1/10/2016,DL,19790,1107,10397,ATL,"Atlanta, GA",14747,SEA,"Seattle, WA",1920,1929,9,26,6,2205,2145,-20,0,0,345,316,284,2182,
2016,1,10,1/10/2016,DL,19790,1110,10397,ATL,"Atlanta, GA",13204,MCO,"Orlando, FL",1805,1805,0,22,10,1936,1942,6,0,0,91,97,65,404,
2016,1,10,1/10/2016,DL,19790,1111,10397,ATL,"Atlanta, GA",14576,ROC,"Rochester, NY",2106,2105,-1,20,4,2319,2305,-14,0,0,133,120,96,749,
2016,1,10,1/10/2016,DL,19790,1112,10397,ATL,"Atlanta, GA",14107,PHX,"Phoenix, AZ",1923,1919,-4,20,4,2144,2126,-18,0,0,261,247,223,1587,
2016,1,10,1/10/2016,DL,19790,1115,10397,ATL,"Atlanta, GA",14107,PHX,"Phoenix, AZ",1636,1636,0,21,4,1859,1845,-14,0,0,263,249,224,1587,
2016,1,10,1/10/2016,DL,19790,1116,10397,ATL,"Atlanta, GA",13232,MDW,"Chicago, IL",1352,1348,-4,15,5,1453,1434,-19,0,0,121,106,86,591,
2016,1,10,1/10/2016,DL,19790,1119,10397,ATL,"Atlanta, GA",13495,MSY,"New Orleans, LA",1150,1150,0,12,5,1223,1223,0,0,0,93,93,76,425,
2016,1,10,1/10/2016,DL,19790,2013,10397,ATL,"Atlanta, GA",15096,SYR,"Syracuse, NY",2105,2102,-3,26,6,2319,2310,-9,0,0,134,128,96,794,
2016,1,10,1/10/2016,DL,19790,2015,10397,ATL,"Atlanta, GA",12264,IAD,"Washington, DC",1931,1936,5,15,5,2118,2104,-14,0,0,107,88,68,534,
2016,1,10,1/10/2016,DL,19790,2016,10397,ATL,"Atlanta, GA",11292,DEN,"Denver, CO",1516,1518,2,18,10,1647,1633,-14,0,0,211,195,167,1199,
2016,1,10,1/10/2016,DL,19790,2018,10397,ATL,"Atlanta, GA",13204,MCO,"Orlando, FL",855,855,0,17,11,1023,1027,4,0,0,88,92,64,404,
2016,1,10,1/10/2016,DL,19790,2023,10397,ATL,"Atlanta, GA",15304,TPA,"Tampa, FL",1330,1330,0,12,4,1453,1455,2,0,0,83,85,69,406,
2016,1,10,1/10/2016,DL,19790,2024,10397,ATL,"Atlanta, GA",10821,BWI,"Baltimore, MD",1915,1913,-2,12,8,2106,2047,-19,0,0,111,94,74,577,
2016,1,10,1/10/2016,DL,19790,2026,10397,ATL,"Atlanta, GA",13495,MSY,"New Orleans, LA",1255,1250,-5,17,5,1335,1324,-11,0,0,100,94,72,425,
2016,1,10,1/10/2016,DL,19790,2028,10397,ATL,"Atlanta, GA",13485,MSN,"Madison, WI",1955,1957,2,22,5,2105,2100,-5,0,0,130,123,96,707,
2016,1,10,1/10/2016,DL,19790,2033,10397,ATL,"Atlanta, GA",14100,PHL,"Philadelphia, PA",1825,1957,92,18,4,2028,2147,79,0,0,123,110,88,666,
2016,1,10,1/10/2016,DL,19790,2035,10397,ATL,"Atlanta, GA",13342,MKE,"Milwaukee, WI",1456,1456,0,18,6,1605,1554,-11,0,0,129,118,94,669,
2016,1,10,1/10/2016,DL,19790,2036,10397,ATL,"Atlanta, GA",11624,EYW,"Key West, FL",1521,1518,-3,15,4,1717,1713,-4,0,0,116,115,96,646,
